Player Name,Position,Team,League,Minutes,Passes attempted,xPass Rating,Average pass difficulty
Shinji Okazaki,FW,Leicester,Premier League,3063.6999999999994,604,0.9698476119680352,85.52582781456958
Kelechi Iheanacho,FW,Leicester,Premier League,903.5833333333336,181,0.9708802871127362,82.51325966850825
Vicente Iborra,Mid,Leicester,Premier League,1464.716666666667,734,0.9871760536625156,87.49809264305186
Matthew James,Mid,Leicester,Premier League,1058.85,329,0.9984781815302192,88.28024316109426
Adrien Silva,Mid,Leicester,Premier League,815.2333333333332,322,0.9903597565272872,83.72639751552792
Harry Maguire,Def,Leicester,Premier League,3666.5,1314,1.0087236764731426,83.21621004566218
Aleksandar Dragovic,Def,Leicester,Premier League,820.6666666666665,231,1.007925057807466,87.61731601731607
Wilfred Ndidi,Mid,Leicester,Premier League,4758.0,1773,0.9705528865898752,85.83265651438253
Hamza Choudhury,Mid,Leicester,Premier League,416.15,140,1.022786338257239,85.20142857142858
Fousseni Diabate,Mid,Leicester,Premier League,642.2833333333333,153,1.027577307269512,82.05098039215687
Danilo,Def,Man City,Premier League,1465.5,974,1.0485441909125373,87.43911704312129
Eliaquim Mangala,Def,Man City,Premier League,537.75,310,1.0463512084998108,90.02096774193558
Oleksandr Zinchenko,Def,Man City,Premier League,558.9000000000002,557,1.0495084668995796,89.97971274685825
Aymeric Laporte,Def,Man City,Premier League,851.9833333333332,674,1.0591503742943873,88.81201780415428
Benjamin Mendy,Def,Man City,Premier League,372.35,194,1.0633302952467758,74.65360824742265
Bernardo Silva,FW,Man City,Premier League,1664.1333333333334,768,1.0357471911154523,84.22864583333342
Bacary Sagna,Def,Man City,Premier League,1447.2666666666669,760,1.0332014138545664,87.10789473684211
Nicolás Otamendi,Def,Man City,Premier League,5976.616666666668,4363,1.0365132327679043,89.82140728856287
Aleksandar Kolarov,Def,Man City,Premier League,2730.833333333334,1666,1.0293085061169194,84.03175270108058
Fernandinho,Mid,Man City,Premier League,6015.100000000001,4474,1.049825981603958,87.20605721948996
Yaya Touré,Mid,Man City,Premier League,2344.9833333333336,2006,1.0354610483917364,89.2094217347958
Kevin De Bruyne,Mid,Man City,Premier League,6342.500000000001,4083,1.0224582212720963,79.9099926524614
David Silva,Mid,Man City,Premier League,5493.233333333335,4137,1.0423915270993638,85.86918056562733
Raheem Sterling,FW,Man City,Premier League,5421.666666666668,1933,1.029826933271777,81.58116916709804
Sergio Agüero,FW,Man City,Premier League,4667.783333333333,1164,1.0227687319790062,85.00609965635746
Kelechi Iheanacho,FW,Man City,Premier League,613.7166666666667,162,0.9543905694281858,82.78827160493827
Jesús Navas,Mid,Man City,Premier League,1162.0,585,1.0076106295271436,78.20820512820518
Pablo Zabaleta,Def,Man City,Premier League,1171.9166666666667,497,1.016444280265686,85.51529175050312
John Stones,Def,Man City,Premier League,3499.05,2480,1.0467938464578834,91.4081451612904
Vincent Kompany,Def,Man City,Premier League,2317.6,1727,1.0478907979353709,89.95929357266947
Gaël Clichy,Def,Man City,Premier League,2267.7833333333333,1303,1.05329142130284,83.86531082118202
Fabian Delph,Def,Man City,Premier League,2075.4166666666665,1734,1.0524142035513997,89.92341407151105
Kyle Walker,Def,Man City,Premier League,3035.2833333333338,1987,1.0396639973798605,86.35827881227982
Nolito,FW,Man City,Premier League,845.0333333333334,346,1.0440999504494937,81.65895953757226
Fernando,Mid,Man City,Premier League,634.9000000000002,323,1.0194196059369385,91.71733746130027
Leroy Sané,FW,Man City,Premier League,4470.216666666667,1610,1.0271431094616177,81.93745341614908
Gabriel Jesus,FW,Man City,Premier League,2439.666666666667,679,0.9954402968723852,85.36715758468335
Ilkay Gündogan,Mid,Man City,Premier League,2327.65,1646,1.0431646075494505,88.93165249088706
João Mário,FW,West Ham,Premier League,1084.15,346,0.9821072338335936,84.75346820809254
Jonathan Calleri,FW,West Ham,Premier League,600.5,102,0.8967545398198575,74.34215686274513
Sam Byram,Def,West Ham,Premier League,1635.85,455,0.9836625137697246,70.82747252747245
